k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
3700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1169923053453243656633656331858,997275890975419226209611634985,987747358843136,316792398211639,113941771016497819442421976600,142676900387668035381036966837,140836112141973,673048427220183
3800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,323530536931405976329013689251,662030667814550738458697009642,641961046586899,413721426697553,591753539235642434442252259823,974150673730416852040957201557,1080962341373845,146049227174858
3900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,25988045129765374363098349344,763349440499505397281684279064,1079809542366553,1079575351893698,669716413962460648324590945254,39987101751109354709966631081,2480529274908,1070228756750269
4000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,99210025615477852297330681418,1159473147825072022611904287698,703968373816503,469847063567470,619110331661304381838322941625,1302718626292899581149740793750,380421703196432,12407776162072
4100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,975046602221895819215143928789,842172544664779752807408624288,813990340031083,1038547242892778,312974861712586750972137529417,859031678823759763043195325674,615284177750194,831081052231493
4200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,148800180951867843132976096657,480173934342869726620324693931,308826861508947,824011156919495,481542713458565299395667742889,1247312496910688072362412839577,913474142255327,757401590774191
4300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,855996375977091501171898790181,186278654627803007002289159091,646532537205933,201933851934423,865717249728562799815248374569,1128947552323814087641668726484,10264956513530,519014446057939
4400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,815043309871896175570465924770,151286861998931787451933091166,1056916602960640,642912047706737,647464999236486793509687950232,801324510512376123077115717657,992105420315690,1021755257936810
4500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,453381035058597508745612247645,752410205808997700120971163079,924447774589186,1127531316227555,212863628118603098785547039458,989344850618759571442868246895,1064299847340302,370114351621812
4600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,573723641193244379633003348649,310587743642937644124935968882,741216015183653,87919261520481,904282270160210461177921901900,1260587701094847082260757851298,258598952590462,578952801328715
